year;winner;Runners-up[8];Third place[9];Top scorer(s)[10];Goals[10]
1964;1. FC Köln (2);Meidericher SV;Eintracht Frankfurt;Uwe Seeler;30
1965;Werder Bremen (1);1. FC Köln;Borussia Dortmund;Rudi Brunnenmeier;24
1966;TSV 1860 Munich (1);Borussia Dortmund;Bayern Munich;Friedhelm Konietzka;26
1967;Eintracht Braunschweig (1);TSV 1860 Munich;Borussia Dortmund;Lothar Emmerich, Gerd Müller;28
1968;1. FC Nürnberg (9);Werder Bremen;Borussia Mönchengladbach;Hannes Löhr;27
1969;Bayern Munich (2) †;Alemannia Aachen;Borussia Mönchengladbach;Gerd Müller;30
1970;Borussia Mönchengladbach (1);Bayern Munich;Hertha BSC;Gerd Müller;38
1971;Borussia Mönchengladbach (2);Bayern Munich;Hertha BSC;Lothar Kobluhn;24
1972;Bayern Munich (3);Schalke 04;Borussia Mönchengladbach;Gerd Müller;40
1973;Bayern Munich (4);1. FC Köln;Fortuna Düsseldorf;Gerd Müller;36
1974;Bayern Munich (5);Borussia Mönchengladbach;Fortuna Düsseldorf;Josef Heynckes, Gerd Müller;30
1975;Borussia Mönchengladbach (3);Hertha BSC;Hamburger SV;Josef Heynckes;27
1976;Borussia Mönchengladbach (4);Hamburger SV;Bayern Munich;Klaus Fischer;29
1977;Borussia Mönchengladbach (5);Schalke 04;Eintracht Braunschweig;Dieter Müller;34
1978;1. FC Köln (3) †;Borussia Mönchengladbach;Hertha BSC;Dieter Müller, Gerd Müller;24
1979;Hamburger SV (4);VfB Stuttgart;1. FC Kaiserslautern;Klaus Allofs;22
1980;Bayern Munich (6);Hamburger SV;VfB Stuttgart;Karl-Heinz Rummenigge;26
1981;Bayern Munich (7);Hamburger SV;VfB Stuttgart;Karl-Heinz Rummenigge;29
1982;Hamburger SV (5);1. FC Köln;Bayern Munich;Horst Hrubesch;27
1983;Hamburger SV (6);Werder Bremen;VfB Stuttgart;Rudi Völler;23
1984;VfB Stuttgart (3);Hamburger SV;Borussia Mönchengladbach;Karl-Heinz Rummenigge;26
1985;Bayern Munich (8);Werder Bremen;1. FC Köln;Klaus Allofs;26
1986;Bayern Munich (9) †;Werder Bremen;Bayer Uerdingen;Stefan Kuntz;22
1987;Bayern Munich (10);Hamburger SV;Borussia Mönchengladbach;Uwe Rahn;24
1988;Werder Bremen (2);Bayern Munich;1. FC Köln;Jürgen Klinsmann;19
1989;Bayern Munich (11);1. FC Köln;Werder Bremen;Thomas Allofs, Roland Wohlfarth;17
1990;Bayern Munich (12);1. FC Köln;Eintracht Frankfurt;Jørn Andersen;18
1991;1. FC Kaiserslautern (3);Bayern Munich;Werder Bremen;Roland Wohlfarth;21
1992;VfB Stuttgart (4);Borussia Dortmund;Eintracht Frankfurt;Fritz Walter;22
1993;Werder Bremen (3);Bayern Munich;Eintracht Frankfurt;Ulf Kirsten, Tony Yeboah;20
1994;Bayern Munich (13);1. FC Kaiserslautern;Bayer Leverkusen;Stefan Kuntz, Tony Yeboah;18
1995;Borussia Dortmund (4);Werder Bremen;Freiburg;Heiko Herrlich, Mario Basler;20
1996;Borussia Dortmund (5);Bayern Munich;Schalke 04;Fredi Bobic;17
1997;Bayern Munich (14);Bayer Leverkusen;Borussia Dortmund;Ulf Kirsten;22
1998;1. FC Kaiserslautern (4);Bayern Munich;Bayer Leverkusen;Ulf Kirsten;22
1999;Bayern Munich (15);Bayer Leverkusen;Hertha BSC;Michael Preetz;23
2000;Bayern Munich (16) †;Bayer Leverkusen;Hamburger SV;Martin Max;19
2001;Bayern Munich (17);Schalke 04;Borussia Dortmund;Sergej Barbarez, Ebbe Sand;22
2002;Borussia Dortmund (6);Bayer Leverkusen;Bayern Munich;Márcio Amoroso, Martin Max;18
2003;Bayern Munich (18) †;VfB Stuttgart;Borussia Dortmund;Giovane Élber, Thomas Christiansen;21
2004;Werder Bremen (4) †;Bayern Munich;Bayer Leverkusen;Aílton;28
2005;Bayern Munich (19) †;Schalke 04;Werder Bremen;Marek Mintál;24
2006;Bayern Munich (20) †;Werder Bremen;Hamburger SV;Miroslav Klose;25
2007;VfB Stuttgart (5);Schalke 04;Werder Bremen;Theofanis Gekas;20
2008;Bayern Munich (21) †;Werder Bremen;Schalke 04;Luca Toni;24
2009;VfL Wolfsburg (1);Bayern Munich;VfB Stuttgart;Grafite;28
2010;Bayern Munich (22) †;Schalke 04;Werder Bremen;Edin Džeko;22
2011;Borussia Dortmund (7);Bayer Leverkusen;Bayern Munich;Mario Gómez;28
2012;Borussia Dortmund (8) †;Bayern Munich;Schalke 04;Klaas-Jan Huntelaar;29
2013;Bayern Munich (23) *;Borussia Dortmund;Bayer Leverkusen;Stefan Kießling;25
2014;Bayern Munich (24) †;Borussia Dortmund;Schalke 04;Robert Lewandowski;20
2015;Bayern Munich (25);VfL Wolfsburg;Borussia Mönchengladbach;Alexander Meier;19
2016;Bayern Munich (26) †;Borussia Dortmund;Bayer Leverkusen;Robert Lewandowski;30
2017;Bayern Munich (27);RB Leipzig;Borussia Dortmund;Pierre-Emerick Aubameyang;31
2018;Bayern Munich (28);Schalke 04;1899 Hoffenheim;Robert Lewandowski;29
2019;Bayern Munich (29) †;Borussia Dortmund;RB Leipzig;Robert Lewandowski;22
2020;Bayern Munich (30) *;Borussia Dortmund;RB Leipzig;Robert Lewandowski;34
2021;Bayern Munich (31);RB Leipzig;Borussia Dortmund;Robert Lewandowski;41
2022;Bayern Munich (32);Borussia Dortmund;Bayer Leverkusen;Robert Lewandowski;35
2023;Bayern Munich (33);Borussia Dortmund;RB Leipzig;Niclas Füllkrug, Christopher Nkunku;16
