year;winner;winning-coach;games;runner-up;runner-up-coach;mvp
1950;Minneapolis Lakers (1) [b] (2, 2–0);John Kundla;4–2;Syracuse Nationals (1) (1, 0–1);Al Cervi;n/a
1951;Rochester Royals (2) (1, 1–0);Les Harrison;4–3;New York Knicks (3) (1, 0–1);Joe Lapchick;[25]
1952;Minneapolis Lakers (2) (3, 3–0);John Kundla;4–3;New York Knicks (3) (2, 0–2);Joe Lapchick;[26]
1953;Minneapolis Lakers (1) (4, 4–0);John Kundla;4–1;New York Knicks (1) (3, 0–3);Joe Lapchick;[27]
1954;Minneapolis Lakers (1) (5, 5–0);John Kundla;4–3;Syracuse Nationals (1) (2, 0–2);Al Cervi;[28]
1955;Fort Wayne Pistons (1) (1, 0–1);Charles Eckman;3–4;Syracuse Nationals (1) (3, 1–2);Al Cervi;[29]
1956;Fort Wayne Pistons (1) (2, 0–2);Charles Eckman;1–4;Philadelphia Warriors (1) (3, 2–1);George Senesky;[30]
1957;St. Louis Hawks (1) (1, 0–1);Alex Hannum;3–4;Boston Celtics (1) (1, 1–0);Red Auerbach;[31]
1958;St. Louis Hawks (1) (2, 1–1);Alex Hannum;4–2;Boston Celtics (1) (2, 1–1);Red Auerbach;[32]
1959;Minneapolis Lakers (2) (6, 5–1);John Kundla;0–4;Boston Celtics (1) (3, 2–1);Red Auerbach;[33]
1960;St. Louis Hawks (1) (3, 1–2);Ed Macauley;3–4;Boston Celtics (1) (4, 3–1);Red Auerbach;[34]
1961;St. Louis Hawks (1) (4, 1–3);Paul Seymour;1–4;Boston Celtics (1) (5, 4–1);Red Auerbach;[35]
1962;Los Angeles Lakers (1) (7, 5–2);Fred Schaus;3–4;Boston Celtics (1) (6, 5–1);Red Auerbach;[36]
1963;Los Angeles Lakers (1) (8, 5–3);Fred Schaus;2–4;Boston Celtics (1) (7, 6–1);Red Auerbach;[37]
1964;San Francisco Warriors (1) (4, 2–2);Alex Hannum;1–4;Boston Celtics (1) (8, 7–1);Red Auerbach;[38]
1965;Los Angeles Lakers (1) (9, 5–4);Fred Schaus;1–4;Boston Celtics (1) (9, 8–1);Red Auerbach;[39]
1966;Los Angeles Lakers (1) (10, 5–5);Fred Schaus;3–4;Boston Celtics (2) (10, 9–1);Red Auerbach;[40]
1967;San Francisco Warriors (1) (5, 2–3);Bill Sharman;2–4;Philadelphia 76ers (1) (4, 2–2);Alex Hannum;[41]
1968;Los Angeles Lakers (2) (11, 5–6);Butch van Breda Kolff;2–4;Boston Celtics (2) (11, 10–1);Bill Russell;[42]
1969;Los Angeles Lakers (1) (12, 5–7);Butch van Breda Kolff;3–4;Boston Celtics (4) (12, 11–1);Bill Russell;Jerry West
1970;Los Angeles Lakers (2) (13, 5–8);Joe Mullaney;3–4;New York Knicks (1) (4, 1–3);Red Holzman;Willis Reed
1971;Milwaukee Bucks (1) (1, 1–0);Larry Costello;4–0;Baltimore Bullets (1) (1, 0–1);Gene Shue;Lew Alcindor
1972;Los Angeles Lakers (1) (14, 6–8);Bill Sharman;4–1;New York Knicks (2) (5, 1–4);Red Holzman;Wilt Chamberlain
1973;Los Angeles Lakers (2) (15, 6–9);Bill Sharman;1–4;New York Knicks (2) (6, 2–4);Red Holzman;Willis Reed
1974;Milwaukee Bucks (1) (2, 1–1);Larry Costello;3–4;Boston Celtics (1) (13, 12–1);Tom Heinsohn;John Havlicek
1975;Golden State Warriors (1) (6, 3–3);Al Attles;4–0;Washington Bullets (2) (2, 0–2);K. C. Jones;Rick Barry
1976;Phoenix Suns (3) (1, 0–1);John MacLeod;2–4;Boston Celtics (1) (14, 13–1);Tom Heinsohn;Jo Jo White
1977;Portland Trail Blazers (3) (1, 1–0);Jack Ramsay;4–2;Philadelphia 76ers (1) (5, 2–3);Gene Shue;Bill Walton
1978;Seattle SuperSonics (4) (1, 0–1);Lenny Wilkens;3–4;Washington Bullets (3) (3, 1–2);Dick Motta;Wes Unseld
1979;Seattle SuperSonics (1) (2, 1–1);Lenny Wilkens;4–1;Washington Bullets (1) (4, 1–3);Dick Motta;Dennis Johnson
1980;Los Angeles Lakers (1) (16, 7–9);Paul Westhead;4–2;Philadelphia 76ers (3) (6, 2–4);Billy Cunningham;Magic Johnson
1981;Houston Rockets (6) (1, 0–1);Del Harris;2–4;Boston Celtics (1) (15, 14–1);Bill Fitch;Cedric Maxwell
1982;Los Angeles Lakers (1) (17, 8–9);Pat Riley;4–2;Philadelphia 76ers (3) (7, 2–5);Billy Cunningham;Magic Johnson
1983;Los Angeles Lakers (1) (18, 8–10);Pat Riley;0–4;Philadelphia 76ers (1) (8, 3–5);Billy Cunningham;Moses Malone
1984;Los Angeles Lakers (1) (19, 8–11);Pat Riley;3–4;Boston Celtics (1) (16, 15–1);K. C. Jones;Larry Bird
1985;Los Angeles Lakers (1) (20, 9–11);Pat Riley;4–2;Boston Celtics (1) (17, 15–2);K. C. Jones;Kareem Abdul-Jabbar
1986;Houston Rockets (2) (2, 0–2);Bill Fitch;2–4;Boston Celtics (1) (18, 16–2);K. C. Jones;Larry Bird
1987;Los Angeles Lakers (1) (21, 10–11);Pat Riley;4–2;Boston Celtics (1) (19, 16–3);K. C. Jones;Magic Johnson
1988;Los Angeles Lakers (1) (22, 11–11);Pat Riley;4–3;Detroit Pistons (2) (3, 0–3);Chuck Daly;James Worthy
1989;Los Angeles Lakers (1) (23, 11–12);Pat Riley;0–4;Detroit Pistons (1) (4, 1–3);Chuck Daly;Joe Dumars
1990;Portland Trail Blazers (3) (2, 1–1);Rick Adelman;1–4;Detroit Pistons (1) (5, 2–3);Chuck Daly;Isiah Thomas
1991;Los Angeles Lakers (3) (24, 11–13);Mike Dunleavy;1–4;Chicago Bulls (1) (1, 1–0);Phil Jackson;Michael Jordan
1992;Portland Trail Blazers (1) (3, 1–2);Rick Adelman;2–4;Chicago Bulls (1) (2, 2–0);Phil Jackson;Michael Jordan
1993;Phoenix Suns (1) (2, 0–2);Paul Westphal;2–4;Chicago Bulls (2) (3, 3–0);Phil Jackson;Michael Jordan
1994;Houston Rockets (2) (3, 1–2);Rudy Tomjanovich;4–3;New York Knicks (2) (7, 2–5);Pat Riley;Hakeem Olajuwon
1995;Houston Rockets (6) (4, 2–2);Rudy Tomjanovich;4–0;Orlando Magic (1) (1, 0–1);Brian Hill;Hakeem Olajuwon
1996;Seattle SuperSonics (1) (3, 1–2);George Karl;2–4;Chicago Bulls (1) (4, 4–0);Phil Jackson;Michael Jordan
1997;Utah Jazz (1) (1, 0–1);Jerry Sloan;2–4;Chicago Bulls (1) (5, 5–0);Phil Jackson;Michael Jordan
1998;Utah Jazz (1) (2, 0–2);Jerry Sloan;2–4;Chicago Bulls (1) (6, 6–0);Phil Jackson;Michael Jordan
1999;San Antonio Spurs (1) (1, 1–0);Gregg Popovich;4–1;New York Knicks (8) (8, 2–6);Jeff Van Gundy;Tim Duncan
2000;Los Angeles Lakers (1) (25, 12–13);Phil Jackson;4–2;Indiana Pacers (1) (1, 0–1);Larry Bird;Shaquille O'Neal
2001;Los Angeles Lakers (2) (26, 13–13);Phil Jackson;4–1;Philadelphia 76ers (1) (9, 3–6);Larry Brown;Shaquille O'Neal
2002;Los Angeles Lakers (3) (27, 14–13);Phil Jackson;4–0;New Jersey Nets (1) (1, 0–1);Byron Scott;Shaquille O'Neal
2003;San Antonio Spurs (1) (2, 2–0);Gregg Popovich;4–2;New Jersey Nets (2) (2, 0–2);Byron Scott;Tim Duncan
2004;Los Angeles Lakers (2) (28, 14–14);Phil Jackson;1–4;Detroit Pistons (3) (6, 3–3);Larry Brown;Chauncey Billups
2005;San Antonio Spurs (2) (3, 3–0);Gregg Popovich;4–3;Detroit Pistons (2) (7, 3–4);Larry Brown;Tim Duncan
2006;Dallas Mavericks (4) (1, 0–1);Avery Johnson;2–4;Miami Heat (2) (1, 1–0);Pat Riley;Dwyane Wade
2007;San Antonio Spurs (3) (4, 4–0);Gregg Popovich;4–0;Cleveland Cavaliers (2) (1, 0–1);Mike Brown;Tony Parker
2008;Los Angeles Lakers (1) (29, 14–15);Phil Jackson;2–4;Boston Celtics (1) (20, 17–3);Doc Rivers;Paul Pierce
2009;Los Angeles Lakers (1) (30, 15–15);Phil Jackson;4–1;Orlando Magic (3) (2, 0–2);Stan Van Gundy;Kobe Bryant
2010;Los Angeles Lakers (1) (31, 16–15);Phil Jackson;4–3;Boston Celtics (4) (21, 17–4);Doc Rivers;Kobe Bryant
2011;Dallas Mavericks (3) (2, 1–1);Rick Carlisle;4–2;Miami Heat (2) (2, 1–1);Erik Spoelstra;Dirk Nowitzki
2012;Oklahoma City Thunder (2) (4, 1–3);Scott Brooks;1–4;Miami Heat (2) (3, 2–1);Erik Spoelstra;LeBron James
2013;San Antonio Spurs (2) (5, 4–1);Gregg Popovich;3–4;Miami Heat (1) (4, 3–1);Erik Spoelstra;LeBron James
2014;San Antonio Spurs (1) (6, 5–1);Gregg Popovich;4–1;Miami Heat (2) (5, 3–2);Erik Spoelstra;Kawhi Leonard
2015;Golden State Warriors (1) (7, 4–3);Steve Kerr;4–2;Cleveland Cavaliers (2) (2, 0–2);David Blatt;Andre Iguodala
2016;Golden State Warriors (1) (8, 4–4);Steve Kerr;3–4;Cleveland Cavaliers (1) (3, 1–2);Tyronn Lue;LeBron James
2017;Golden State Warriors (1) (9, 5–4);Steve Kerr;4–1;Cleveland Cavaliers (2) (4, 1–3);Tyronn Lue;Kevin Durant
2018;Golden State Warriors (2) (10, 6–4);Steve Kerr;4–0;Cleveland Cavaliers (4) (5, 1–4);Tyronn Lue;Kevin Durant
2019;Golden State Warriors (1) (11, 6–5);Steve Kerr;2–4;Toronto Raptors (2) (1, 1–0);Nick Nurse;Kawhi Leonard
2020;Los Angeles Lakers (1) (32, 17–15);Frank Vogel;4–2;Miami Heat (5) (6, 3–3);Erik Spoelstra;LeBron James
2021;Phoenix Suns (2) (3, 0–3);Monty Williams;2–4;Milwaukee Bucks (3) (3, 2–1);Mike Budenholzer;Giannis Antetokounmpo
2022;Golden State Warriors (3) (12, 7–5);Steve Kerr;4–2;Boston Celtics (2) (22, 17–5);Ime Udoka;Stephen Curry
2023;Denver Nuggets (1) (1, 1–0);Michael Malone;4–1;Miami Heat (8) (7, 3–4);Erik Spoelstra;Nikola Joki_
