Season;year;winner;Runners-up;Third place
1992–93;1993;Manchester United (8);Aston Villa (10);Norwich City (1)
1993–94;1994;Manchester United[b] (9);Blackburn Rovers (1);Newcastle United (3)
1994–95;1995;Blackburn Rovers (3);Manchester United (11);Nottingham Forest (4)
1995–96;1996;Manchester United[b] (10);Newcastle United (1);Liverpool (3)
1996–97;1997;Manchester United (11);Newcastle United (2);Arsenal (5)
1997–98;1998;Arsenal[b] (11);Manchester United (12);Liverpool (4)
1998–99;1999;Manchester United[i] (12);Arsenal (4);Chelsea (4)
1999–2000;2000;Manchester United[j] (13);Arsenal (5);Leeds United (2)
2000–01;2001;Manchester United (14);Arsenal (6);Liverpool (5)
2001–02;2002;Arsenal[b] (12);Liverpool (11);Manchester United (4)
2002–03;2003;Manchester United (15);Arsenal (7);Newcastle United (4)
2003–04;2004;Arsenal[a] (13);Chelsea (1);Manchester United (5)
2004–05;2005;Chelsea[f] (2);Arsenal (8);Manchester United (6)
2005–06;2006;Chelsea (3);Manchester United (13);Liverpool (6)
2006–07;2007;Manchester United (16);Chelsea (2);Liverpool (7)
2007–08;2008;Manchester United[e] (17);Chelsea (3);Arsenal (6)
2008–09;2009;Manchester United[f][k] (18);Liverpool (12);Chelsea (5)
2009–10;2010;Chelsea[b] (4);Manchester United (14);Arsenal (7)
2010–11;2011;Manchester United (19);Chelsea (4);Manchester City (4)
2011–12;2012;Manchester City (3);Manchester United (15);Arsenal (8)
2012–13;2013;Manchester United (20);Manchester City (4);Chelsea (6)
2013–14;2014;Manchester City[f] (4);Liverpool (13);Chelsea (7)
2014–15;2015;Chelsea[f] (5);Manchester City (5);Arsenal (9)
2015–16;2016;Leicester City (1);Arsenal (9);Tottenham Hotspur (9)
2016–17;2017;Chelsea (6);Tottenham Hotspur (5);Manchester City (5)
2017–18;2018;Manchester City[f] (5);Manchester United (16);Tottenham Hotspur (10)
2018–19;2019;Manchester City[l] (6);Liverpool (14);Chelsea (8)
2019–20;2020;Liverpool (19);Manchester City (6);Manchester United (7)
2020–21;2021;Manchester City[f] (7);Manchester United (17);Liverpool (8)
2021–22;2022;Manchester City (8);Liverpool (15);Chelsea (9)
2022–23;2023;Manchester City[m] (9);Arsenal (10);Manchester United (8)
